Reviews,Rating
bought iphone 12 big billion day saved alot thank much flipkart amazing deal phone great perfect camera security performance ver good  phone lack allbattery backup good spend single day without charging itsize perfect iphone 11 screen size diffcult carry device light perfect sizei give 4 star don’t accessory iphone,4
great look awesome inhand feel,5
7 day use camera  excellent speaker  unbeatabledisplay  oled unbeatablecomfort  good le weighti mi user last 4 year  shifted redmi note 5 pro cute beastbought 51k  blue color 64gb variantas 128gb unavailable dont need much storage regular backup guy happy diwali advancenight mode good  a14 processor omg speeed light,5
camera good battery goodperformance also good,5
great feeling ios14,3
iphone 6 plus 64gb  iphone 12 128gbmy 2nd iphone upgraded 5 yearsgorgeous display stunning new blue colour excellent camera best hardwaresoftware combination that’s would describe iphone 12 package 😊even though previous iphone 55” display one 61” display overall body size much smaller get used initially 🙂openingclosingloading apps fast issue video playback screen look gorgeous took,5
awesome love,5
nothing say device absolutely flawless premium inhand feel nothing say camera surround sound work absolutely fine a14 bionic flawless smooth multi tasking first big upgrade flagship device usage mesmerizing im literally impressed used 5 6 year ago nothing come infront blindly go device kudos flipkart next day delivery policy open box policy also impressive go,5
phone amazing switched iphone 3 year one plus 6 certainly feeling iphones people buy,5
excellent product worth every penny right review using 7 day earlier using phone iphone 6 iphone 12😍😍 faster anything else… excellent picture quality love iphone12,5
switched android iphone transition really smooth due easier gui bought 128 gb variant didn’t waited iphone 13 iphone 12 one need perfect phone person white colour seems much sexier purple black attached pic reference1oled screen good default much warmer toneyou disable true tone optiondark mode lit 🔥🔥2battery 🔋 last day wifi location mobile data go,5
1st apple product must say beast device 🔥it handle everything smooth way buttery smooth 😌im loving device must say iphones something unique everyone must try out❤️i write detailed review using 2 month,5
excellent camera built quality decent battery backup,4
overall good phone super performance,4
upgrade phone 11 phone12  2most powerful device 2camera 🥇 3display top quality4over best device,5
first iphone ever n brought earned money✌✌the best yet come n really happy product delivered time flipkart overall  light weighted awesome camera quality n love purple color 😍🥰 dream come true finally iphone ✌💯,5
best yet come really happy product delivered time flipkart liked colour it’s dream come true finally iphone thank flipkart,5
night mode simply amazing give clear crisp image even dark,5
happy iphone 14 wonderful phone specially powerful camera😍 perfect screen size potentially battery life make worthy,5
great picture quality performance good always important addition cinematographic video recording,5
lost effort get awesome 😊,5
totally love new iphone 14 battery backup amazing never expected apple honestbuilt quality excellent look premium camera quality excellent well true life color reproduction indoor condition amazing night photo good facial tone good day click amazing short amazing exp selfie cam also produce good quality image,5
camera superbnice phone,5
absolutely awesome switching iphone easy started using phone loving,5
iphone great canera qulity best battery powerful dizine bestwork best best,5
nice looking phone,5
1st io device far good😊midnight black best camera quality excellent along multitasking performance go,5
good one got around 67k  first apple mobile took time get habituated apple eco system worth wait simple easy,5
nice phone great camera 1st iphone loving,5
superbgo guy without hesitation great hand feel  superb camera  awesome battery backup  starlight colour look premium 67 inch crisp display camera 55 performance 55 happy apple 14 plusthanks flipcart genuine product delivered time,5
super phone  camera super😍,5
love picture night mode awesome mindblowing product,5
awesome camera quality,4
wow cannot express feeling ❤️😍,5
think iphone 14 plus king battery life  iphone 14 plus camera also good rounder iphone every department,5
good quality sarvice amezing phone,5
great performancecamera better iphone 13battery backup also goodiphone 14 plus awesome,5
good phone value money,5
camera really good battery performance also good apple inbuilt photo edit option really nice make photo much better one,5
switched andro phone 😅  phone color much dark purple look good love big screen😍😍😍😍   bought feeling phone,5
picture quality good purchased i14 camera us,5
like much 🤩🤩🤩🤩🤩,5
power packed product considering price come 33 battery 07 inch larger display base model camera superb term video recordingcinematic mode normal mode 4k format feel like iphone 14 pro max hand front revolutionary product,5
value money,5
phone beautiful,5
amazing product,5
camara 😍amazing phone never disappointed youlove iphone 14 plus blue colour 128gbwith blue colour device lit 😍,4
excellent iphone 14 plus❤️👌,5
best quality battery backup good,5
superb must purchase  first time switched android feel issue working fine option avilable camera best battary huge,5
thank flipkart excellent service received sooner expected open box policy accepting product excellent received genuine apple product,5
good,5
simply awesome product sound quality good ,5
great phone price range 60hz refresh rate feel smooth great camerabig screen good battery backup superb gaming else anyone ask highly recommended 😍,5
mobile lighter iphone 13 big screen look good display crunch charged mobile 100 still 30 battery life left moderate use 1 n half dayi ordered blue colour look subtle cool loved,5
wow  battery 🔋 i best,5
ossm product delivery costomer survice good❤️thank flipkart thought thet product get  original return policy also changed flipkart get original product dont face issue delivery related recommend guy,5
design awesome,5
awesome phone battery back excellent,5
great,5
switched android io first empression flagship term lookspremiumness sounddisplay big battery loved,5
camera awesome performance superb battery fabulous look overall hot love,5
amazing beast battery powerful use full day single charge go camera quality super powerful work smooth,5
first iphone excited display awesome everything good thanks flipkcart,5
ive using iphone seven month want share thought especially youre thinking switching android iosfirst really like phone performs better android phone ive there learning curve especially youre used android there dedicated back buttonin opinion iphone best people use phone work dont play lot game nice feature doesnt,5
feel amazing use switching android io totally new interface processor top notch battery long lasting display amazing sound camera phone next level clarity specially videography cinematic mode mind blowing really impressed iphone 14 plus,5
best everything camera 55 display 45battery 55performance 55,5
iphone 14 plus without doubt amazing phone ive ever pleasure using moment first held hand could tell truly special device build quality exceptional solid feel leaf doubt mind youre holding premium productone first thing struck iphone 14 plus screen absolutely gorgeous bright color stunning detail make everything movie,5
best,5
performance nyc,4
good product 👌 👍🏻 👏 super performance 👏,5
excellent look superb camera amazing battery backup,5
wow 😍 amazing 👌👍,5
good product,5
awesomeness awesome camera awesome battery lifelittle bit slow time,5
best iphone yetcoming regular 13 61 inch noticed significant upgrade took 10 day fully get used new size heavy plus feel normal  actually perfect size 😄 wanting try new stuff iphone get size weight easily compensates large size ever becomes issue display  vibrant better dynamic range iphone 13 noticed quicklypromotion tried ,5
wow 🥰🤩,5
best mobilebest camera,5
amazing purchase flipkart fresh iphone 14 plus excellent genuine product worth every penny recommend folk buy lens protector screen guard sold separately know buy apple charger separately 😉,5
recommend totaly good product price better product another comprision price range dream bought product year thanks flipkart,5
best phone,5
okay,4
iphone 14 plus super phone 👌👌👌👌,5
switched android iphone 1st timeits really worth itexcellent product,5
awesome camera design performance good heat faster gaming 1215 hr backup use whole day without playing gamesbut gaming 34 hour overall good single problem heating,5
amazing phone lightning fast delivery flipkart 🤘,5
best best phone amount,5
wonderful phone first time switching android iphone far good worth deal exchange 25 year used oppo f15 handy discount hdfc credit card,5
🔸powerful processor🔸light weight🔸big screen🔸great battery🔸beautiful design🔸awesome camera,5
want better battery life bigger display go blindlymy overall experience photography 40videography  50battery 50performance 45display 45,5
1back camera 4552front camera 453display 554battery 4555performance 45this review using 10 working daysthis first iphone totally different android phone genuine specification feature unlike android phone good deviceif want bigger battery running game live streaming go  battery capacity iphone 14plus iphone 14pro max,4
camera quality nice overall iphone 14plus latest version 111213 good performance display size big otherwise 111213and 14 opinion latest version 14 plus awesome smart,5
great product large display long lasting battery 🔋 excellent camera 🤳,5
overall great buy camera nice,4
noice😍 overall lil bit miss 120hz although received good condition,5
radhe radhe ❤️,5
using google pixel device tell good camera pixel day light much better ambient lightbigger screen give rich screen experienceseamless transition among appsso able feel better experience,5
awesome battery backup amazing camera day batter backup  improved brilliant io 161 oled display dolby speaker lot close eye go one best handy smartphones ever great discount given flipkart big billion day 🔥,5
prosrear camera awesomedouble speaker sound equal loud base superb display superb design also goodbattery back superbconsfront camera good awesomeafter switching android feel one minus point display notch ,5
good,5
best phone day day use photographyvideography,4
awesome camerai love ,5
awesome phone excellent camera quality,5
awosome  camera best  photo sharing guy ,5
happy phone,5
nice upgradedesign supercamera decentperformance superbattery life great,5
love phone 😍,5
best best,5
switch io android 10 year review might help migratorsit’s month using iphone13 experience1 design  simple nonsense design  expect white pink rest colour fingerprint magnet  seen colour highly recommend pink  it’s light pink make girlish see really look premium light pink colour rest except white aluminium frame wil,5
dream phone iam waiting 10 year bought phone fully happy phone performance display camera etc awesmomeselfie camera focus alpple company main camera performance awesomedisplay sound quality dolby atomscharging also improvedoverall super 🥰,5
best phone recent time used life,5
first phone long time android user… apple camera way ahead   interface better android…overall premium feature feeling price way aboveboard,4
nice product camera quatily super good switch android iphone good experience ,5
amazing,5
nice phone,5
great performance 🥰,5
upgraded 13 x experience extraordinary  user interface camera good love extraordinary device shared photo clicked phone everyone idea good camera compared flagship device  lens inside device efficient  automatically reduces noise picture making crisp clear  ,5
excellent mobile dream purchase,5
superb camera,5
camera  superb 🫡❤️,5
best phone available price pointcamera comparable entry level dslrmarvellous dynamic rangethe performance unmatchableshifted io 10 year premium android smartphonesgo  without second thought,5
beast phone … camera exceptionally best,5
look  first love apple phone 13 first time purchase phone look awesome white colour love  hand feel much premiumcamera  mind blowing camera performance font camera rear camera take much awesome quality picture  night mode supergood low light performance impressed meperformance  bionic a15 chipset faster 60hz refresh rate beatable 120hz display  ut old xdr retina display much good look display get 10 10,5
nice 👌 one go,5
superb cameranice performance,5
amazing phone improved performance good battery backup stunning camera clearity looking power pack phone go ,5
goooood loved it😍,5
camera quality awesome ❤️ love phone ,5
awesome camera clarity,5
shifting android 10 yearscons iphone ios1notification centre mess  many notification leave unread2no back gesture3camera unable focus small textcant decline call phone locked4limited file sharing options5file manager useless applinked folders6google apps syncing isnt smooth  limited option google drivepros iphone ios1no lag every thing happens like snap2camera good3easily get fu,5
nice product,5
look  first love apple phone 13 first time purchase phone look awesome white colour love hand feel much premiumcamera  mind blowing camera performance font camera rear camera take much awesome quality picturesnight mode supergood low light performance impressed meperformance  bionic a15 chipset faster 60hz refresh rate beatable 120hzdisplay  ut old xdr retina display much good look display get 10 10 displa,5
reality reality everything working smooth jist go without hesitation wont regret buy,5
outstanding camera performance,5
good quality photo love it❤️,5
amazing beastas expected  didnt disappoint mehad sell hard chunk kidney get pcamera quality definitely super upgradebattery super easily last throughout day heavy usagelight weight look stylish else needstarlight color wowapple would better  given adaptor increase 2k price give boxsimple edit 1  14 day usage highly satisfied battery performance last thr,5
camera quality performance battery everything mark,5
it’s camera performance beast mobile doubt feel premium hand it’s much value money i’d rather say person buy apple product value money overall good product it’s iphone go,5
everything best one best camera lens capture low light pictures👍,5
finally switched android hand feel super amazing photo come good stereo speaker loud clear screen quality wow mean watching experience super satisfying haptics also good ,5
first iphone i’ve bought money sweet using last couple month i’ve amazed usage design interoperability apple device,5
using two week  love phone  shifting android io feel difficult form boring 56 day updating io 16 cool day one use display camera may thought come mind omg spending much money honestly use day bye day uhh definitely fall love battery backup fantastic smart optimisation fabulousdisplay mind blowing natural colour,4
cinematographer 💯🪄,5
one best worth money 💸💰,5
awesome camara…best bgmi,5
 battery last 15days normal use display best among performance top notch  camera actual beast reveals satisfyingvideo clarity best segment best except price 😜,5
prosoutstanding design  sturdy waterproofedbright oled screen hdr10 dolby visiondependable battery lifeloud stereo speaker excellent outputunmatched performance 5ggreat allround photo video quality across three camerasconsminor upgrade iphone 12no 120hz refresh ratethe notch still eyesore even smallerthe fast charging handled betterios limitation remains love leave affair,5
love ❤️camera good night mode killer performance display best face id fast look premium hand go without thinking much ,5
best ever experience 😍😍,5
camera quality superb 1010 battery 1010overall superb❤️,5
fantastic phone 13 camera superb performance also nice,4
loved thanks flipkart bought exact sale received product next day thanks faster delivery flipkart ❣️,5
nice experience,5
love ❤❤❤,5
excellent phone,5
amazing performance,5
best aspect,5
marvellous💯switched android ioseverything work like butter,5
way amazing,4
picture quality amazing need think twice buying performance photo go bionic 15 super fast amazing performance specially good gaming although battery backup good heavy userbut light medium user give battery backup whole day one charge,5
first time switched android io feeling awesome good designgood cameragood battery backupfabulous performancebatter displayeverything phone perfect   thank flipkart secure  fast delivery awesome product 🥰,5
upgraded 11 iphone 13 cinematic mode video awesome camera awesome display awesome look a1 battery life also goodnew filter mode camera added,5
simply superb ❤️,5
1st iphone really awesome,5
overall satisfied purchase,5
loved it❤️,5
totally worth price better battery backup amazing photo video,5
camera quality superb,5
feeling ✨,5
awesome camera amazing battery life super xdr display 💕👌🏻playing game day day task smooth face id superbios 15 really awesome 🤩 thanks apple,5
nice phone,5
lit 🔥🔥🔥,5
quality quite good😊 satisfiedbtw iphone phone increase photo quality nothing else,4
loved phone,5
great camera photo videographyoverall great performance,5
first iphone shifted io 5 year androidwithout taking much time let share experience beastcamera  1010battery  910display  1010performance  1010design  1010,5
awesomegreat experience shifted android io great use easy learn best wide angel camera,5
loved awesome 😍,5
nice phone camera display nice,5
battery life gooddisplay goodperformance greatstereo sound goodcamera fantasticin hand feel perfect,5
performance good display good battery good look good,5
excellent mobile,4
it’s first ever io device kinda loving total value money best ever budget smart phone thank flipkart delivering one  day,5
product good expected 😊nice feature nice cameravery good fields❤️❤️❤️❤️❤️i phone 13 great product,5
amazing device bought 3  family flipkart big billian sale thanks flipkart,5
awesome camera quality…just love,5
awesome,5
go,5
awesome camera,5
camera quality fabulous interface smooth  good photography videography,5
best iphone till date 💕,5
super,5
performance soooo fastespecially faceid detection awesome even darkno need carry dslr enough attaching puc taken,5
happy phone 12very nice product thanku flipkart,5
amazing phone  love phone,5
everything great except battery life camera awesome,4
display good  processor awesome,4
nice phone good build qualityexcellent camera,5
value money phone flipkarton time delieveryalways best servicefeedback call received 5 daysappleone word superbpicture quality ultimate,5
excellent,5
excellent camera  good performanceaverage battery,5
nice phone 😍,5
classic,5
love,5
wow superb camera phone smooth speed lag  iphone king always beautiful product,5
z frst iphone n … outstanding phone …must buy😍😍😍😍😍,5
go iti purchased 128 gb purple colour phone beast,5
brand trustworthy got genuine pice low costi ordered green one trust colour amazingall colour specifically green purple nice lookthanks flipkart❤️,5
awesome phone … value money happy battery life awesome camera features… look image snapped using phone… easy use feared getting scratch back glass… using cover helped it…,5
upgraded iphone 7 plus using 3yrs excellent built  box design look great night mode click look fabulous,5
nice camera 📸,5
excellent camera awesome performance,5
always prefer iphone camera quality n camera quality iphone 12 top notch,5
love …😍😍😍,5
top class performance  battery backup charge quickly u using 20w charger night mode good  hdr mode work flawlessly vfm phone,5
excellent product worth every penny writing review using 7 day earlier using iphone 6plus iphone 12 😍 faster anything elseexcellent picture qualityjust loved,5
dont think much go clicker gonna love display sound feature usually excellent,5
guy beast every aspect configuration full pack want like best camera  best display best battery whole day use everyone know processing speed👌,5
excellent product ❤,5
best performance iphone loving ❤️,5
nice,5
nice camera,5
awesome look,5
high quality camera😍,5
camera quality improved loving,5
awesome camra quality superb camra 😊,4
simply awesome 🤩,5
nice 🙂🙂🙂🙂🙂,5
first iphone ever used loving already worth 🥰,5
48 megapixel lit🔥thin bessel compared 14lesser weightdynamic island work perfectlygood battery backup ⚡my rating 55,5
simply premium,5
look good hand wau,5
totally happycamera 5battery 5 display 5design 5,5
v v good,5
awesome😍switch android io,5
amazing nd also delivery boy humble,5
best mobile phonecamera quality nice sound quality amazing,4
best class device apple never cease amaze customer lightweight sleek look matte back finish help fine grip,5
fully satisfied 👍🏻,5
gud product,5
good phone display 60 hz slow 2023,4
far better 15pro finger print even moisturize hand,5
amazing product❤️❤️best iphone iphone series,5
switching android io awesome experiencei love  thanks flipkart open box delivery option,5
best phone nice camera performance,5
black colour awesome 🔥🔥,5
good experience highly recommended upgrade,5
fantastic,5
pros1 incredibly smart device year2 io interface3 data privacy4 premium build quality5 dynamic island6 ecosystem benefit apple devices7 powerful processorcons1 60hz refresh rate flagship although noticeable2 improvement siri3 expensive4 low possibility repair,5
awesome phone 📱,5
smooth 🔥,5
absolutely gorgeous 😻,5
wowwww ❤️,5
loved it👍🏻 great performance facing kind heating problem impressed battery performance,5
good  first iphone good time get heat using camera,5
value money,4
awesome buy,5
good product,5
pic quality awesome,5
best one apple💙,5
find good except heating issue course type c charge cable heat like hell take noon time take photo heat else performance body shading issue hand feeling awesome,4
loved 😍thank much ❤️,5
awesome super,4
awesome look feel,5
handy,5
excellent phone 😎,5
lovely product,5
wowbuy,5
top class performance every aspect,5
everything good battery drain fast,5
camera quality top notch 👍,5
yeah flipkart original product provide good phone 📱camera superb,5
simply awesome 😍,5
ok,4
design could new,5
smooth nice phone thanks flipkart,5
