Reviews,Positive,Negative,Neutral,New sentiments
review week overall powerful package photo video gaming thing could better battery though work whole day low usage  extensive use would go beyond half daycamera 45pictures full zoom 3sound quality 55display 455performance 5,0.155,0.057,0.788,positive
switch  x r  14 great experience best display sound quality fabulous change camera alsogreat,0.565,0.0,0.435,positive
good phone,0.744,0.0,0.256,positive
first iphone experience even though 60hz refresh rate feel smooth optimized performance top notch🔥if u r looking iphone 13go phone 14 trust u love it❤️,0.406,0.0,0.594,positive
first io device like iti gifted younger brother loved iphone inhand feel damn premium 🙌🏻 also camera quality top notch honest bought phone smooth processor camera quality go,0.309,0.073,0.618,positive
best market camera quality awesome battery easily go dayspeakers really good,0.665,0.0,0.335,positive
value money product get deal around 65 k ,0.286,0.0,0.714,positive
nice one,0.737,0.0,0.263,positive
love,1.0,0.0,0.0,positive
im happy phone deal got flipkart,0.425,0.0,0.575,positive
awesome deal tq flipkartiphone 14 powerfully packed 5g battery goodcameras next level finally iphone 14 superbloved,0.215,0.0,0.785,positive
look pretty 🫣❤️,0.615,0.0,0.385,positive
quality  performance  integrity  apple inc,0.394,0.0,0.606,positive
thanks flipkart trust got device perfectly loved best phone segment,0.787,0.0,0.213,positive
almost 1month purshase loving  great photography videography trust stability video awesome  high end performence gaming  problem heat little playing bgmi u play ac room there issue boxy look iphone 12 good give premium feel holding  worth buying  also confused iph 11 iph12 close eye go iphone 12 ,0.365,0.077,0.557,positive
night picture quality awesome portrait real portrait,0.406,0.0,0.594,positive
awesome camera performance improvement battery capacity,0.64,0.0,0.36,positive
best ever mobile worth every penny overall good purchase processor superfast loved,0.617,0.0,0.383,positive
thanx flipkart value super sale short time period 1hour😁 flipkart might need work faster deliveryiphone 12 got best price flipkart1 camera performance  superb2 display  superb3 interface  amazing,0.383,0.0,0.617,positive
best class,0.808,0.0,0.192,positive
great camera,0.804,0.0,0.196,positive
camera extraordinary loved it😍😍😍,0.565,0.0,0.435,positive
good  thank much flipkart,0.73,0.0,0.27,positive
really glad went phone place android device like samsung series nd one plus  also  amazed battery life phone  single charge last day easily even gaming experience great,0.413,0.0,0.587,positive
first iphone bought bbd sale acc value money compare others phone everything good displaysoundperformanceeverything except battery average acc charged iphone 12 20w charger battery come 40 remove charging reach 80 take 30 min charge battery heath still 100 acc good👍👍here sample taken iphone12🥰,0.136,0.038,0.826,positive
design superb love awesome feeling hand,0.945,0.0,0.055,positive
love mobile back apple product iphone 5 smooth,0.412,0.0,0.588,positive
amazing look,0.792,0.0,0.208,positive
quality product❤️🔥,0.0,0.0,1.0,neutral
good product amazing featureslooks great,0.844,0.0,0.156,positive
cool colour loved,0.861,0.0,0.139,positive
wow💯,0.0,0.0,1.0,neutral
1st iphone ever i’m loving great performance awesome display camera outstanding come heavily priced worth white color look super cool 🎉😊😍,0.634,0.0,0.366,positive
perfect phone  apple allgo eye closed budgetcamera best quality crystal clear photo super stable video 4k 3060 fpsbest slow motion phone everperformance  best android even 1 9 pro battery life  last day use anyhowsuper smooth software experiencetopnotch security level 💯very lightweight hold,0.413,0.0,0.587,positive
good 👌🏽,0.744,0.0,0.256,positive
mind blowing performance 🥰 awesome,0.577,0.0,0.423,positive
delightful phone phone peice art sleek eye catchy super fast got everything u needbest one available,0.372,0.0,0.628,positive
stunning look premium awesome camera moderate use get 2 day battery life single charge overall happy purchase last least fast delivery flipkart,0.366,0.0,0.634,positive
premium product👍,0.0,0.0,1.0,neutral
overall good performancecamera osm battery also good,0.537,0.0,0.463,positive
first apple product loving  purchased bbd sale worth every penny ,0.42,0.0,0.58,positive
bought iphone 12 big billion day saved alot thank much flipkart amazing deal phone great perfect camera security performance ver good  phone lack allbattery backup good spend single day without charging itsize perfect iphone 11 screen size diffcult carry device light perfect sizei give 4 star don’t accessory iphone,0.453,0.032,0.515,positive
great look awesome inhand feel,0.732,0.0,0.268,positive
7 day use camera  excellent speaker  unbeatabledisplay  oled unbeatablecomfort  good le weighti mi user last 4 year  shifted redmi note 5 pro cute beastbought 51k  blue color 64gb variantas 128gb unavailable dont need much storage regular backup guy happy diwali advancenight mode good  a14 processor omg speeed light,0.288,0.0,0.712,positive
camera good battery goodperformance also good,0.592,0.0,0.408,positive
great feeling ios14,0.848,0.0,0.152,positive
iphone 6 plus 64gb  iphone 12 128gbmy 2nd iphone upgraded 5 yearsgorgeous display stunning new blue colour excellent camera best hardwaresoftware combination that’s would describe iphone 12 package 😊even though previous iphone 55” display one 61” display overall body size much smaller get used initially 🙂openingclosingloading apps fast issue video playback screen look gorgeous took,0.228,0.0,0.772,positive
awesome love,1.0,0.0,0.0,positive
nothing say device absolutely flawless premium inhand feel nothing say camera surround sound work absolutely fine a14 bionic flawless smooth multi tasking first big upgrade flagship device usage mesmerizing im literally impressed used 5 6 year ago nothing come infront blindly go device kudos flipkart next day delivery policy open box policy also impressive go,0.307,0.0,0.693,positive
phone amazing switched iphone 3 year one plus 6 certainly feeling iphones people buy,0.461,0.0,0.539,positive
excellent product worth every penny right review using 7 day earlier using phone iphone 6 iphone 12😍😍 faster anything else… excellent picture quality love iphone12,0.415,0.0,0.585,positive
switched android iphone transition really smooth due easier gui bought 128 gb variant didn’t waited iphone 13 iphone 12 one need perfect phone person white colour seems much sexier purple black attached pic reference1oled screen good default much warmer toneyou disable true tone optiondark mode lit 🔥🔥2battery 🔋 last day wifi location mobile data go,0.23,0.0,0.77,positive
1st apple product must say beast device 🔥it handle everything smooth way buttery smooth 😌im loving device must say iphones something unique everyone must try out❤️i write detailed review using 2 month,0.115,0.0,0.885,positive
excellent camera built quality decent battery backup,0.381,0.0,0.619,positive
overall good phone super performance,0.694,0.0,0.306,positive
upgrade phone 11 phone12  2most powerful device 2camera 🥇 3display top quality4over best device,0.468,0.0,0.532,positive
first iphone ever n brought earned money✌✌the best yet come n really happy product delivered time flipkart overall  light weighted awesome camera quality n love purple color 😍🥰 dream come true finally iphone ✌💯,0.46,0.0,0.54,positive
best yet come really happy product delivered time flipkart liked colour it’s dream come true finally iphone thank flipkart,0.585,0.0,0.415,positive
night mode simply amazing give clear crisp image even dark,0.444,0.0,0.556,positive
happy iphone 14 wonderful phone specially powerful camera😍 perfect screen size potentially battery life make worthy,0.604,0.0,0.396,positive
great picture quality performance good always important addition cinematographic video recording,0.524,0.0,0.476,positive
lost effort get awesome 😊,0.488,0.274,0.238,positive
totally love new iphone 14 battery backup amazing never expected apple honestbuilt quality excellent look premium camera quality excellent well true life color reproduction indoor condition amazing night photo good facial tone good day click amazing short amazing exp selfie cam also produce good quality image,0.545,0.0,0.455,positive
camera superbnice phone,0.0,0.0,1.0,neutral
absolutely awesome switching iphone easy started using phone loving,0.651,0.0,0.349,positive
iphone great canera qulity best battery powerful dizine bestwork best best,0.765,0.0,0.235,positive
nice looking phone,0.583,0.0,0.417,positive
1st io device far good😊midnight black best camera quality excellent along multitasking performance go,0.397,0.0,0.603,positive
good one got around 67k  first apple mobile took time get habituated apple eco system worth wait simple easy,0.325,0.0,0.675,positive
nice phone great camera 1st iphone loving,0.73,0.0,0.27,positive
superbgo guy without hesitation great hand feel  superb camera  awesome battery backup  starlight colour look premium 67 inch crisp display camera 55 performance 55 happy apple 14 plusthanks flipcart genuine product delivered time,0.294,0.127,0.579,positive
super phone  camera super😍,0.565,0.0,0.435,positive
love picture night mode awesome mindblowing product,0.624,0.0,0.376,positive
awesome camera quality,0.672,0.0,0.328,positive
wow cannot express feeling ❤️😍,0.465,0.168,0.367,positive
think iphone 14 plus king battery life  iphone 14 plus camera also good rounder iphone every department,0.153,0.0,0.847,positive
good quality sarvice amezing phone,0.42,0.0,0.58,positive
great performancecamera better iphone 13battery backup also goodiphone 14 plus awesome,0.581,0.0,0.419,positive
good phone value money,0.726,0.0,0.274,positive
camera really good battery performance also good apple inbuilt photo edit option really nice make photo much better one,0.452,0.0,0.548,positive
switched andro phone 😅  phone color much dark purple look good love big screen😍😍😍😍   bought feeling phone,0.398,0.0,0.602,positive
picture quality good purchased i14 camera us,0.326,0.0,0.674,positive
like much 🤩🤩🤩🤩🤩,0.556,0.0,0.444,positive
power packed product considering price come 33 battery 07 inch larger display base model camera superb term video recordingcinematic mode normal mode 4k format feel like iphone 14 pro max hand front revolutionary product,0.24,0.0,0.76,positive
value money,0.706,0.0,0.294,positive
phone beautiful,0.796,0.0,0.204,positive
amazing product,0.792,0.0,0.208,positive
camara 😍amazing phone never disappointed youlove iphone 14 plus blue colour 128gbwith blue colour device lit 😍,0.145,0.0,0.855,positive
excellent iphone 14 plus❤️👌,0.552,0.0,0.448,positive
best quality battery backup good,0.703,0.0,0.297,positive
superb must purchase  first time switched android feel issue working fine option avilable camera best battary huge,0.488,0.0,0.512,positive
thank flipkart excellent service received sooner expected open box policy accepting product excellent received genuine apple product,0.49,0.0,0.51,positive
good,1.0,0.0,0.0,positive
simply awesome product sound quality good ,0.636,0.0,0.364,positive
great phone price range 60hz refresh rate feel smooth great camerabig screen good battery backup superb gaming else anyone ask highly recommended 😍,0.504,0.0,0.496,positive
mobile lighter iphone 13 big screen look good display crunch charged mobile 100 still 30 battery life left moderate use 1 n half dayi ordered blue colour look subtle cool loved,0.253,0.05,0.696,positive
wow  battery 🔋 i best,0.889,0.0,0.111,positive
ossm product delivery costomer survice good❤️thank flipkart thought thet product get  original return policy also changed flipkart get original product dont face issue delivery related recommend guy,0.228,0.0,0.772,positive
design awesome,0.804,0.0,0.196,positive
awesome phone battery back excellent,0.722,0.0,0.278,positive
great,1.0,0.0,0.0,positive
switched android io first empression flagship term lookspremiumness sounddisplay big battery loved,0.346,0.0,0.654,positive
camera awesome performance superb battery fabulous look overall hot love,0.725,0.0,0.275,positive
amazing beast battery powerful use full day single charge go camera quality super powerful work smooth,0.526,0.0,0.474,positive
first iphone excited display awesome everything good thanks flipkcart,0.711,0.0,0.289,positive
ive using iphone seven month want share thought especially youre thinking switching android iosfirst really like phone performs better android phone ive there learning curve especially youre used android there dedicated back buttonin opinion iphone best people use phone work dont play lot game nice feature doesnt,0.319,0.034,0.648,positive
feel amazing use switching android io totally new interface processor top notch battery long lasting display amazing sound camera phone next level clarity specially videography cinematic mode mind blowing really impressed iphone 14 plus,0.348,0.0,0.652,positive
best everything camera 55 display 45battery 55performance 55,0.375,0.0,0.625,positive
iphone 14 plus without doubt amazing phone ive ever pleasure using moment first held hand could tell truly special device build quality exceptional solid feel leaf doubt mind youre holding premium productone first thing struck iphone 14 plus screen absolutely gorgeous bright color stunning detail make everything movie,0.409,0.073,0.518,positive
best,1.0,0.0,0.0,positive
performance nyc,0.0,0.0,1.0,neutral
good product 👌 👍🏻 👏 super performance 👏,0.694,0.0,0.306,positive
excellent look superb camera amazing battery backup,0.744,0.0,0.256,positive
wow 😍 amazing 👌👍,0.884,0.0,0.116,positive
good product,0.744,0.0,0.256,positive
awesomeness awesome camera awesome battery lifelittle bit slow time,0.539,0.0,0.461,positive
best iphone yetcoming regular 13 61 inch noticed significant upgrade took 10 day fully get used new size heavy plus feel normal  actually perfect size 😄 wanting try new stuff iphone get size weight easily compensates large size ever becomes issue display  vibrant better dynamic range iphone 13 noticed quicklypromotion tried ,0.328,0.0,0.672,positive
wow 🥰🤩,0.792,0.0,0.208,positive
best mobilebest camera,0.677,0.0,0.323,positive
amazing purchase flipkart fresh iphone 14 plus excellent genuine product worth every penny recommend folk buy lens protector screen guard sold separately know buy apple charger separately 😉,0.392,0.0,0.608,positive
recommend totaly good product price better product another comprision price range dream bought product year thanks flipkart,0.524,0.0,0.476,positive
best phone,0.808,0.0,0.192,positive
okay,1.0,0.0,0.0,positive
iphone 14 plus super phone 👌👌👌👌,0.438,0.0,0.562,positive
switched android iphone 1st timeits really worth itexcellent product,0.215,0.0,0.785,positive
awesome camera design performance good heat faster gaming 1215 hr backup use whole day without playing gamesbut gaming 34 hour overall good single problem heating,0.29,0.126,0.585,positive
amazing phone lightning fast delivery flipkart 🤘,0.432,0.0,0.568,positive
best best phone amount,0.808,0.0,0.192,positive
wonderful phone first time switching android iphone far good worth deal exchange 25 year used oppo f15 handy discount hdfc credit card,0.381,0.0,0.619,positive
🔸powerful processor🔸light weight🔸big screen🔸great battery🔸beautiful design🔸awesome camera,0.0,0.0,1.0,neutral
want better battery life bigger display go blindlymy overall experience photography 40videography  50battery 50performance 45display 45,0.231,0.0,0.769,positive
1back camera 4552front camera 453display 554battery 4555performance 45this review using 10 working daysthis first iphone totally different android phone genuine specification feature unlike android phone good deviceif want bigger battery running game live streaming go  battery capacity iphone 14plus iphone 14pro max,0.095,0.0,0.905,positive
camera quality nice overall iphone 14plus latest version 111213 good performance display size big otherwise 111213and 14 opinion latest version 14 plus awesome smart,0.385,0.0,0.615,positive
great product large display long lasting battery 🔋 excellent camera 🤳,0.527,0.0,0.473,positive
overall great buy camera nice,0.697,0.0,0.303,positive
noice😍 overall lil bit miss 120hz although received good condition,0.232,0.128,0.64,positive
radhe radhe ❤️,0.0,0.0,1.0,neutral
using google pixel device tell good camera pixel day light much better ambient lightbigger screen give rich screen experienceseamless transition among appsso able feel better experience,0.359,0.0,0.641,positive
awesome battery backup amazing camera day batter backup  improved brilliant io 161 oled display dolby speaker lot close eye go one best handy smartphones ever great discount given flipkart big billion day 🔥,0.47,0.0,0.53,positive
prosrear camera awesomedouble speaker sound equal loud base superb display superb design also goodbattery back superbconsfront camera good awesomeafter switching android feel one minus point display notch ,0.316,0.0,0.684,positive
good,1.0,0.0,0.0,positive
best phone day day use photographyvideography,0.457,0.0,0.543,positive
awesome camerai love ,0.892,0.0,0.108,positive
awesome phone excellent camera quality,0.722,0.0,0.278,positive
awosome  camera best  photo sharing guy ,0.636,0.0,0.364,positive
happy phone,0.787,0.0,0.213,positive
nice upgradedesign supercamera decentperformance superbattery life great,0.58,0.0,0.42,positive
love phone 😍,0.808,0.0,0.192,positive
best best,1.0,0.0,0.0,positive
switch io android 10 year review might help migratorsit’s month using iphone13 experience1 design  simple nonsense design  expect white pink rest colour fingerprint magnet  seen colour highly recommend pink  it’s light pink make girlish see really look premium light pink colour rest except white aluminium frame wil,0.105,0.052,0.843,positive
dream phone iam waiting 10 year bought phone fully happy phone performance display camera etc awesmomeselfie camera focus alpple company main camera performance awesomedisplay sound quality dolby atomscharging also improvedoverall super 🥰,0.261,0.0,0.739,positive
best phone recent time used life,0.457,0.0,0.543,positive
first phone long time android user… apple camera way ahead   interface better android…overall premium feature feeling price way aboveboard,0.206,0.0,0.794,positive
nice product camera quatily super good switch android iphone good experience ,0.641,0.0,0.359,positive
amazing,1.0,0.0,0.0,positive
nice phone,0.737,0.0,0.263,positive
great performance 🥰,0.804,0.0,0.196,positive
upgraded 13 x experience extraordinary  user interface camera good love extraordinary device shared photo clicked phone everyone idea good camera compared flagship device  lens inside device efficient  automatically reduces noise picture making crisp clear  ,0.425,0.0,0.575,positive
excellent mobile dream purchase,0.74,0.0,0.26,positive
superb camera,0.804,0.0,0.196,positive
camera  superb 🫡❤️,0.672,0.0,0.328,positive
best phone available price pointcamera comparable entry level dslrmarvellous dynamic rangethe performance unmatchableshifted io 10 year premium android smartphonesgo  without second thought,0.254,0.0,0.746,positive
beast phone … camera exceptionally best,0.529,0.0,0.471,positive
look  first love apple phone 13 first time purchase phone look awesome white colour love  hand feel much premiumcamera  mind blowing camera performance font camera rear camera take much awesome quality picture  night mode supergood low light performance impressed meperformance  bionic a15 chipset faster 60hz refresh rate beatable 120hz display  ut old xdr retina display much good look display get 10 10,0.315,0.026,0.659,positive
nice 👌 one go,0.583,0.0,0.417,positive
superb cameranice performance,0.672,0.0,0.328,positive
amazing phone improved performance good battery backup stunning camera clearity looking power pack phone go ,0.53,0.0,0.47,positive
goooood loved it😍,0.661,0.0,0.339,positive
camera quality awesome ❤️ love phone ,0.675,0.0,0.325,positive
awesome camera clarity,0.872,0.0,0.128,positive
shifting android 10 yearscons iphone ios1notification centre mess  many notification leave unread2no back gesture3camera unable focus small textcant decline call phone locked4limited file sharing options5file manager useless applinked folders6google apps syncing isnt smooth  limited option google drivepros iphone ios1no lag every thing happens like snap2camera good3easily get fu,0.115,0.225,0.66,negative
nice product,0.737,0.0,0.263,positive
look  first love apple phone 13 first time purchase phone look awesome white colour love hand feel much premiumcamera  mind blowing camera performance font camera rear camera take much awesome quality picturesnight mode supergood low light performance impressed meperformance  bionic a15 chipset faster 60hz refresh rate beatable 120hzdisplay  ut old xdr retina display much good look display get 10 10 displa,0.319,0.026,0.655,positive
reality reality everything working smooth jist go without hesitation wont regret buy,0.131,0.144,0.725,negative
outstanding camera performance,0.667,0.0,0.333,positive
good quality photo love it❤️,0.703,0.0,0.297,positive
amazing beastas expected  didnt disappoint mehad sell hard chunk kidney get pcamera quality definitely super upgradebattery super easily last throughout day heavy usagelight weight look stylish else needstarlight color wowapple would better  given adaptor increase 2k price give boxsimple edit 1  14 day usage highly satisfied battery performance last thr,0.403,0.021,0.576,positive
camera quality performance battery everything mark,0.0,0.0,1.0,neutral
it’s camera performance beast mobile doubt feel premium hand it’s much value money i’d rather say person buy apple product value money overall good product it’s iphone go,0.299,0.069,0.632,positive
everything best one best camera lens capture low light pictures👍,0.48,0.12,0.4,positive
finally switched android hand feel super amazing photo come good stereo speaker loud clear screen quality wow mean watching experience super satisfying haptics also good ,0.652,0.0,0.348,positive
first iphone i’ve bought money sweet using last couple month i’ve amazed usage design interoperability apple device,0.292,0.0,0.708,positive
using two week  love phone  shifting android io feel difficult form boring 56 day updating io 16 cool day one use display camera may thought come mind omg spending much money honestly use day bye day uhh definitely fall love battery backup fantastic smart optimisation fabulousdisplay mind blowing natural colour,0.388,0.067,0.545,positive
cinematographer 💯🪄,0.0,0.0,1.0,neutral
one best worth money 💸💰,0.67,0.0,0.33,positive
awesome camara…best bgmi,0.672,0.0,0.328,positive
 battery last 15days normal use display best among performance top notch  camera actual beast reveals satisfyingvideo clarity best segment best except price 😜,0.501,0.0,0.499,positive
prosoutstanding design  sturdy waterproofedbright oled screen hdr10 dolby visiondependable battery lifeloud stereo speaker excellent outputunmatched performance 5ggreat allround photo video quality across three camerasconsminor upgrade iphone 12no 120hz refresh ratethe notch still eyesore even smallerthe fast charging handled betterios limitation remains love leave affair,0.154,0.066,0.78,positive
love ❤️camera good night mode killer performance display best face id fast look premium hand go without thinking much ,0.442,0.131,0.427,positive
best ever experience 😍😍,0.583,0.0,0.417,positive
camera quality superb 1010 battery 1010overall superb❤️,0.406,0.0,0.594,positive
fantastic phone 13 camera superb performance also nice,0.677,0.0,0.323,positive
loved thanks flipkart bought exact sale received product next day thanks faster delivery flipkart ❣️,0.447,0.0,0.553,positive
nice experience,0.737,0.0,0.263,positive
love ❤❤❤,0.808,0.0,0.192,positive
excellent phone,0.787,0.0,0.213,positive
amazing performance,0.792,0.0,0.208,positive
best aspect,0.808,0.0,0.192,positive
marvellous💯switched android ioseverything work like butter,0.333,0.0,0.667,positive
way amazing,0.792,0.0,0.208,positive
picture quality amazing need think twice buying performance photo go bionic 15 super fast amazing performance specially good gaming although battery backup good heavy userbut light medium user give battery backup whole day one charge,0.366,0.0,0.634,positive
first time switched android io feeling awesome good designgood cameragood battery backupfabulous performancebatter displayeverything phone perfect   thank flipkart secure  fast delivery awesome product 🥰,0.57,0.0,0.43,positive
upgraded 11 iphone 13 cinematic mode video awesome camera awesome display awesome look a1 battery life also goodnew filter mode camera added,0.393,0.0,0.607,positive
simply superb ❤️,0.672,0.0,0.328,positive
1st iphone really awesome,0.594,0.0,0.406,positive
overall satisfied purchase,0.583,0.0,0.417,positive
loved it❤️,0.796,0.0,0.204,positive
totally worth price better battery backup amazing photo video,0.604,0.0,0.396,positive
camera quality superb,0.672,0.0,0.328,positive
feeling ✨,1.0,0.0,0.0,positive
awesome camera amazing battery life super xdr display 💕👌🏻playing game day day task smooth face id superbios 15 really awesome 🤩 thanks apple,0.529,0.0,0.471,positive
nice phone,0.737,0.0,0.263,positive
lit 🔥🔥🔥,0.0,0.0,1.0,neutral
quality quite good😊 satisfiedbtw iphone phone increase photo quality nothing else,0.187,0.0,0.813,positive
loved phone,0.796,0.0,0.204,positive
great camera photo videographyoverall great performance,0.672,0.0,0.328,positive
first iphone shifted io 5 year androidwithout taking much time let share experience beastcamera  1010battery  910display  1010performance  1010design  1010,0.115,0.0,0.885,positive
awesomegreat experience shifted android io great use easy learn best wide angel camera,0.528,0.0,0.472,positive
loved awesome 😍,1.0,0.0,0.0,positive
nice phone camera display nice,0.651,0.0,0.349,positive
battery life gooddisplay goodperformance greatstereo sound goodcamera fantasticin hand feel perfect,0.434,0.0,0.566,positive
performance good display good battery good look good,0.744,0.0,0.256,positive
excellent mobile,0.787,0.0,0.213,positive
it’s first ever io device kinda loving total value money best ever budget smart phone thank flipkart delivering one  day,0.502,0.0,0.498,positive
product good expected 😊nice feature nice cameravery good fields❤️❤️❤️❤️❤️i phone 13 great product,0.585,0.0,0.415,positive
amazing device bought 3  family flipkart big billian sale thanks flipkart,0.456,0.0,0.544,positive
awesome camera quality…just love,0.806,0.0,0.194,positive
awesome,1.0,0.0,0.0,positive
go,0.0,0.0,1.0,neutral
awesome camera,0.804,0.0,0.196,positive
camera quality fabulous interface smooth  good photography videography,0.512,0.0,0.488,positive
best iphone till date 💕,0.583,0.0,0.417,positive
super,1.0,0.0,0.0,positive
performance soooo fastespecially faceid detection awesome even darkno need carry dslr enough attaching puc taken,0.227,0.0,0.773,positive
happy phone 12very nice product thanku flipkart,0.565,0.0,0.435,positive
amazing phone  love phone,0.8,0.0,0.2,positive
everything great except battery life camera awesome,0.621,0.0,0.379,positive
display good  processor awesome,0.778,0.0,0.222,positive
nice phone good build qualityexcellent camera,0.588,0.0,0.412,positive
value money phone flipkarton time delieveryalways best servicefeedback call received 5 daysappleone word superbpicture quality ultimate,0.337,0.0,0.663,positive
excellent,1.0,0.0,0.0,positive
excellent camera  good performanceaverage battery,0.688,0.0,0.312,positive
nice phone 😍,0.737,0.0,0.263,positive
classic,0.0,0.0,1.0,neutral
love,1.0,0.0,0.0,positive
wow superb camera phone smooth speed lag  iphone king always beautiful product,0.532,0.108,0.36,positive
z frst iphone n … outstanding phone …must buy😍😍😍😍😍,0.444,0.0,0.556,positive
go iti purchased 128 gb purple colour phone beast,0.0,0.0,1.0,neutral
brand trustworthy got genuine pice low costi ordered green one trust colour amazingall colour specifically green purple nice lookthanks flipkart❤️,0.349,0.076,0.576,positive
awesome phone … value money happy battery life awesome camera features… look image snapped using phone… easy use feared getting scratch back glass… using cover helped it…,0.426,0.079,0.495,positive
upgraded iphone 7 plus using 3yrs excellent built  box design look great night mode click look fabulous,0.463,0.0,0.537,positive
nice camera 📸,0.737,0.0,0.263,positive
excellent camera awesome performance,0.796,0.0,0.204,positive
always prefer iphone camera quality n camera quality iphone 12 top notch,0.153,0.0,0.847,positive
love …😍😍😍,0.808,0.0,0.192,positive
top class performance  battery backup charge quickly u using 20w charger night mode good  hdr mode work flawlessly vfm phone,0.289,0.0,0.711,positive
excellent product worth every penny writing review using 7 day earlier using iphone 6plus iphone 12 😍 faster anything elseexcellent picture qualityjust loved,0.345,0.0,0.655,positive
dont think much go clicker gonna love display sound feature usually excellent,0.441,0.0,0.559,positive
guy beast every aspect configuration full pack want like best camera  best display best battery whole day use everyone know processing speed👌,0.491,0.0,0.509,positive
excellent product ❤,0.787,0.0,0.213,positive
best performance iphone loving ❤️,0.73,0.0,0.27,positive
nice,1.0,0.0,0.0,positive
nice camera,0.737,0.0,0.263,positive
awesome look,0.804,0.0,0.196,positive
high quality camera😍,0.0,0.0,1.0,neutral
camera quality improved loving,0.778,0.0,0.222,positive
awesome camra quality superb camra 😊,0.732,0.0,0.268,positive
simply awesome 🤩,0.804,0.0,0.196,positive
nice 🙂🙂🙂🙂🙂,0.737,0.0,0.263,positive
first iphone ever used loving already worth 🥰,0.537,0.0,0.463,positive
48 megapixel lit🔥thin bessel compared 14lesser weightdynamic island work perfectlygood battery backup ⚡my rating 55,0.0,0.0,1.0,neutral
simply premium,0.0,0.0,1.0,neutral
look good hand wau,0.753,0.0,0.247,positive
totally happycamera 5battery 5 display 5design 5,0.0,0.0,1.0,neutral
v v good,1.0,0.0,0.0,positive
awesome😍switch android io,0.0,0.0,1.0,neutral
amazing nd also delivery boy humble,0.432,0.0,0.568,positive
best mobile phonecamera quality nice sound quality amazing,0.684,0.0,0.316,positive
best class device apple never cease amaze customer lightweight sleek look matte back finish help fine grip,0.354,0.116,0.53,positive
fully satisfied 👍🏻,0.607,0.0,0.393,positive
gud product,0.0,0.0,1.0,neutral
good phone display 60 hz slow 2023,0.326,0.0,0.674,positive
far better 15pro finger print even moisturize hand,0.504,0.0,0.496,positive
amazing product❤️❤️best iphone iphone series,0.487,0.0,0.513,positive
switching android io awesome experiencei love  thanks flipkart open box delivery option,0.554,0.0,0.446,positive
best phone nice camera performance,0.7,0.0,0.3,positive
black colour awesome 🔥🔥,0.577,0.0,0.423,positive
good experience highly recommended upgrade,0.625,0.0,0.375,positive
fantastic,1.0,0.0,0.0,positive
pros1 incredibly smart device year2 io interface3 data privacy4 premium build quality5 dynamic island6 ecosystem benefit apple devices7 powerful processorcons1 60hz refresh rate flagship although noticeable2 improvement siri3 expensive4 low possibility repair,0.368,0.049,0.583,positive
